Call Number,Author,Title,Barcode,Year,Date Acquired,Status,Circs
F FIN,"Fine, Sarah,",Uncanny,3043700012046,2017,8/9/2019,Available,0
F FIN,"Finlay, Adrianne.",Your one & only,,2018,9/26/2019,Follett eBook,0
F FIN,"Finlay, Adrianne.",Your one & only,3043700013563,2018,12/5/2019,Available,0
F FIN,"Finn, Katie,","Broken hearts, fences, and other things to mend",3043700008289,2015,8/9/2019,Available,0
F FIN,"Finn, Katie,","Hearts, fingers, and other things to cross",3043700009738,2017,8/9/2019,Available,0
F FIN,"Finn, Katie.","Revenge, ice cream, and other things best served cold",3043700011103,2016,8/9/2019,Available,0
F FIN,"Finn, Mary.",Belladonna,3043700008089,2011,8/9/2019,Available,0
F FIN,"Finnegan, Amy.",Not in the script,3043700010638,2014,8/9/2019,Available,0
F FIO,"Fiore, Kelly.",Just like the movies,3043700010037,2014,8/9/2019,Available,0
F FIO,"Fiore, Kelly.",Thicker than water,3043700011856,2016,8/9/2019,Available,0
F FIR,edited by Donald R. Gallo.,First crossing : stories about teen immigrants,3043700009013,2007,8/9/2019,Available,0
F FIR,"Firestone, Carrie.",The loose ends list,3043700013339,2016,12/5/2019,Available,0
F FIR,"Firestone, Carrie.",The unlikelies,3043700012082,2017,8/9/2019,Available,2
F FIR,"Firkins, Jacqueline.","Hearts, strings, and other breakable things",,2019,8/28/2020,Follett eBook,0
F FIR,"Firmston, Kim,",Stupid,3043700011764,2014,8/9/2019,Available,0
F FIS,"Fischer, Nancy Richardson.",When elephants fly,3043700012326,2018,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",Circle of stones,3043700008432,2014,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",The door in the moon,3043700009073,2016,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",Incarceron,3043700009941,2010,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",Obsidian mirror,3043700010675,2014,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",Relic master. Part 2,3043700013050,2013,12/5/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",Sapphique,3043700011235,2010,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",The slanted worlds,3043700011531,2015,8/9/2019,Available,0
F FIS,"Fisher, Catherine, 1957-",The speed of darkness,3043700011637,2016,8/9/2019,Available,0
F FIS,"Fishwick, Michael,",The white hare,3043700014130,2017,12/5/2019,Available,0
F FIT,"Fitzgerald, F. Scott (Francis Scott), 1896-1940.",The great Gatsby,,2012,9/3/2019,Follett eBook,0
F FIT,"Fitzgerald, F. Scott (Francis Scott), 1896-1940.",The great Gatsby,3043700009662,1996,8/9/2019,Checked Out,4
F FIT,"Fitzgerald, F. Scott (Francis Scott), 1896-1940.",The short stories of F. Scott Fitzgerald,3043700011446,1998,8/9/2019,Available,0
F FIT,"Fitzgerald, F. Scott (Francis Scott), 1896-1940.",Tender is the night,3043700011831,1996,8/9/2019,Available,0
F FIT,"Fitzgerald, Mara,",Beyond the ruby veil,3043700016761,2020,12/14/2020,Available,0
F FIT,"Fitzgerald, Sarah Moore, 1965-",The apple tart of hope,3043700003264,2016,8/9/2019,Available,1
F FIT,"Fitzpatrick, Becca.",Black ice,3043700008150,2014,8/9/2019,Available,0
F FIT,"Fitzpatrick, Becca.",Crescendo,3043700008543,2010,8/9/2019,Available,0
F FIT,"Fitzpatrick, Becca.",Dangerous lies,3043700008610,2015,8/9/2019,Available,0
F FIT,"Fitzpatrick, Becca.",Finale,3043700008968,2012,8/9/2019,Available,0
F FIT,"Fitzpatrick, Becca.","Hush, hush",3043700009866,2009,8/9/2019,Available,0
F FIT,"Fitzpatrick, Becca.",Silence,3043700011465,2011,8/9/2019,Available,0
F FIT,"Fitzpatrick, Huntley,",The boy most likely to,3043700008243,2016,8/9/2019,Available,0
F FIT,"Fitzpatrick, Huntley.",My life next door,3043700013382,2012,12/5/2019,Available,1
F FIT,"Fitzpatrick, Huntley.",What I thought was true,3043700012299,2015,8/9/2019,Available,0
F FIX,"Fixmer, Elizabeth, 1952-",Down from the mountain,,2016,9/26/2019,Follett eBook,0
F FIX,"Fixmer, Elizabeth, 1952-",Down from the mountain,3043700014009,2015,12/5/2019,Available,0
F FLA,"Flack, Sophie.",Bunheads : a novel,3043700014634,2012,12/5/2019,Available,0
F FLA,"Flagg, Fannie.",Fried green tomatoes at the Whistle Stop Cafe,3043700009409,2005,8/9/2019,Available,0
F FLA,"Flake, Sharon,",Bang!,3043700003375,2007,8/9/2019,Available,0
F FLA,"Flake, Sharon.",You don't even know me : stories and poems about boys,3043700012509,2011,8/9/2019,Available,0
F FLA,"Flake, Sharon G.",Pinned,3043700010843,2012,8/9/2019,Available,0
F FLA,"Flanagan, John (John Anthony)",The ruins of Gorlan,3043700011182,2005,8/9/2019,Lost,2
F FLA,"Flanagan, Liz.",Eden summer,3043700009145,2017,8/9/2019,Available,0
F FLA,"Flaubert, Gustave, 1821-1880.",Madame Bovary : provincial lives,3043700010369,2014,8/9/2019,Available,1
F FLE,"Fleck, Jessika.",Beware the night,3043700016192,2019,5/20/2020,Available,0
F FLE,"Fleischman, Paul.",Breakout,3043700008265,2003,8/9/2019,Available,0
F FLE,"Fleischman, Paul.",Whirligig,3043700012353,2010,8/9/2019,Available,0
F FLE,"Fleming, Candace.",On the day I died : stories from the grave,3043700010703,2012,8/9/2019,Available,0
F FLE,"Fletcher, Ralph J.,",Also known as Rowan Pohi,3043700002768,2011,8/9/2019,Available,0
F FLE,"Fletcher, Susan, 1951-",Alphabet of dreams,3043700008037,2008,8/9/2019,Available,0
F FLE,"Fletcher, Susan, 1979-",A little in love,3043700010291,2015,8/9/2019,Available,0
F FLI,"Flinn, Alex.",Beastly,3043700003400,2007,8/9/2019,Available,1
F FLI,"Flinn, Alex,",Beheld,3043700013581,2017,12/5/2019,Available,0
F FLI,"Flinn, Alex.",Bewitching,3043700013583,2012,12/5/2019,Available,0
F FLI,"Flinn, Alex.",Cloaked,3043700008452,2011,8/9/2019,Available,1
F FLI,"Flinn, Alex,",Diva,3043700008791,2007,8/9/2019,Available,0
F FLI,"Flinn, Alex.",Fade to black,3043700008867,2006,8/9/2019,Available,0
F FLI,"Flinn, Alex.",A kiss in time,3043700010096,2009,8/9/2019,Available,0
F FLI,"Flinn, Alex.",Mirrored,3043700013824,2015,12/5/2019,Available,0
F FLI,"Flinn, Alex.",Towering,3043700013960,2013,12/5/2019,Available,0
F FLI,"Flinn, Alexandra,",Breaking point,3043700014633,2003,12/5/2019,Available,0
F FLO,"Flood, Bo.",Warriors in the crossfire,3043700012224,2013,8/9/2019,Available,0
F FLO,"Flood, C. J.,",Infinite sky,3043700012829,2014,12/5/2019,Available,0
F FLO,"Floreen, Tim.",Tattoo atlas,3043700013122,2016,12/5/2019,Available,0
F FLO,"Floreen, Tim.",Willful machines,3043700014141,2015,12/5/2019,Available,0
F FLO,"Florence, Melanie.",He who dreams,,2017,9/26/2019,Follett eBook,0
F FLO,"Florence, Melanie.",Just lucky,,2019,8/28/2020,Follett eBook,0
F FLO,"Flores, Francesca,",Diamond city,3043700017058,2020,12/14/2020,Available,0
F FLO,"Flores-Scott, Patrick.",American road trip,3043700002792,2018,8/9/2019,Available,0
F FLO,"Flores-Scott, Patrick.",Jumped in,3043700012867,2013,12/5/2019,Available,0
F FLO,"Flowers, J. J.",Juan Pablo and the butterflies,3043700013747,2017,12/5/2019,Available,0
F FLY,edited by Ellen Oh.,Flying lessons & other stories,,2017,9/3/2019,Follett eBook,0
F FLY,edited by Ellen Oh.,Flying lessons & other stories,3043700009317,2017,8/9/2019,Available,1
F FLY,"Flynn, Alex,",Annihilation day,3043700010469,2015,8/9/2019,Available,0
F FLY,"Flynn, Alex,",The coming storm,3043700010470,2014,8/9/2019,Available,0
F FLY,"Flynn, Laurie Elizabeth,",All eyes on her,3043700017021,2020,12/14/2020,Available,1
F FOE,"Foer, Jonathan Safran, 1977-",Extremely loud & incredibly close,3043700008856,2005,8/9/2019,Available,0
F FOG,"Fogelin, Adrian.",The real question,3043700011022,2006,8/9/2019,Available,0
F FOL,"Folan, Karyn Langhorne.",Breaking point,3043700015015,2011,12/5/2019,Available,0
F FOL,"Folan, Karyn Langhorne.",Pretty ugly,3043700015124,2011,12/5/2019,Available,0
F FOL,"Foley, Jessie Ann.",The carnival at Bray,3043700008356,2014,8/9/2019,Available,0
F FOL,"Foley, Jessie Ann.",Neighborhood girls,3043700013843,2017,12/5/2019,Available,0
F FOL,"Foley, Jessie Ann.",Sorry for your loss,,2019,8/28/2020,Follett eBook,0
F FOL,"Foley, Jessie Ann.",Sorry for your loss,3043700016314,2019,5/20/2020,Available,0
F FOM,"Fombelle, Timothée de, 1973-",The book of pearl,,2018,9/26/2019,Follett eBook,0
F FOM,"Fombelle, Timothée de, 1973-",The book of pearl,3043700008231,2018,8/9/2019,Available,0
F FOM,"Fombelle, Timothée de, 1973-",A prince without a kingdom,3043700010917,2015,8/9/2019,Available,0
F FOM,"Fombelle, Timothée de, 1973-",Vango : between sky and earth,3043700012125,2014,8/9/2019,Available,1
F FON,"Fontes, Justine.",Benito runs,,2017,9/3/2019,Follett eBook,0
F FON,"Fontes, Justine.",Benito runs,3043700008099,2011,8/9/2019,Available,0
F FON,"Fontes, Justine.",Deadly drive,3043700008694,2013,8/9/2019,Available,0
F FOO,"Foody, Amanda.",Ace of shades,3043700002658,2018,8/9/2019,Available,1
F FOO,"Foody, Amanda.",Daughter of the burning city,3043700013213,2017,12/5/2019,Available,0
F FOR,"Ford, Jamie,",Hotel on the corner of bitter and sweet : a novel,3043700014023,2009,12/5/2019,Available,0
F FOR,"Ford, John C. (John Christopher), 1971-",The morgue and me,3043700012958,2015,12/5/2019,Available,0
F FOR,"Ford, Michael Thomas,",Suicide notes : a novel,3043700015344,2019,12/5/2019,Checked Out,1
F FOR,"Forest, Kristina,",I wanna be where you are,3043700017560,2019,1/22/2021,Available,0
F FOR,"Forest, Laurie.",The iron flower,3043700013315,2018,12/5/2019,Available,0
F FOR,"Forman, Gayle.",I have lost my way,,2018,9/3/2019,Follett eBook,0
F FOR,"Forman, Gayle.",I have lost my way,3043700013708,2018,12/5/2019,Available,1
F FOR,"Forman, Gayle.",I was here,3043700012801,2015,12/5/2019,Available,0
F FOR,"Forman, Gayle.",If I stay,,2013,9/3/2019,Follett eBook,0
F FOR,"Forman, Gayle,",If I stay,3043700009905,2009,8/9/2019,Available,1
F FOR,"Forman, Gayle.",Just one day,3043700010038,2013,8/9/2019,Available,1
F FOR,"Forman, Gayle.",Just one year,3043700010039,2013,8/9/2019,Available,0
F FOR,"Forman, Gayle.",Where she went,3043700012349,2011,8/9/2019,Available,0
F FOR,"Forna, Namina.",The gilded ones,,2021,2/12/2021,Follett eBook,0
F FOR,"Forna, Namina.",The gilded ones,3043700071392,2020,9/30/2022,Checked Out,1
F FOR,"Forster, E. M. (Edward Morgan), 1879-1970.",A room with a view,3043700014754,2000,12/5/2019,Available,2
F FOR,"Forster, Miriam, 1980-",City of a Thousand Dolls,3043700008437,2013,8/9/2019,Available,0
F FOR,"Fortunati, Karen.",The weight of zero,3043700012279,2016,8/9/2019,Available,0
F FOU,"Fountain, Ben.",Billy Lynn's long halftime walk,3043700008129,2012,8/9/2019,Available,0
F FOW,"Fowler, Elle, 1988-",Beneath the glitter,3043700012598,2013,12/5/2019,Available,0
F FOW,"Fowler, Karen Joy,",We are all completely beside ourselves,3043700012247,2014,8/9/2019,Available,0
F FOW,"Fowley-Doyle, Moïra.",The accident season,,,9/3/2019,Follett eBook,0
F FOW,"Fowley-Doyle, Moïra.",The accident season,3043700002653,2016,8/9/2019,Available,0
F FOW,"Fowley-Doyle, Moïra.",All the bad apples,,2019,9/5/2019,Follett eBook,0
F FOW,"Fowley-Doyle, Moïra,",All the bad apples,3043700016177,2019,5/20/2020,Available,0
F FOW,"Fowley-Doyle, Moïra.",Spellbook of the lost and found,3043700011640,2017,8/9/2019,Available,2
F FOX,"Fox, Helena.",How it feels to float,,2019,9/3/2019,Follett eBook,0
F FOX,"Foxlee, Karen, 1971-",The anatomy of wings,3043700003214,2009,8/9/2019,Available,0
F FRA,"Fraillon, Zana.",The bone sparrow,3043700008219,2016,8/9/2019,Available,0
F FRA,"France, Emily.",Signs of you,,2016,9/26/2019,Follett eBook,0
F FRA,"France, Emily.",Zen and gone,,2018,9/26/2019,Follett eBook,0
F FRA,"France, Emily.",Zen and gone,3043700014157,2018,12/5/2019,Available,0
F FRA,"Franco, Betsy.",Metamorphosis : junior year,3043700013817,2009,12/5/2019,Available,0
F FRA,"Frank, E. R.,",America,3043700002785,2015,8/9/2019,Available,0
F FRA,"Frank, E. R.",Dime,3043700008774,2015,8/9/2019,Available,0
F FRA,"Frank, E. R.,",Friction,3043700009407,2015,8/9/2019,Available,0
F FRA,"Frank, E. R.,",Life is funny,3043700010240,2016,8/9/2019,Available,0
F FRA,"Frank, E. R.,",Wrecked,3043700012480,2015,8/9/2019,Available,0
F FRA,"Franklin, Emily.",Last night at the Circle Cinema,3043700010150,2015,8/9/2019,Available,0
F FRA,"Franzen, Jonathan.",Freedom,3043700009395,2011,8/9/2019,Available,1
F FRA,"Frazier, Charles, 1950-",Cold mountain : a novel,3043700008471,2017,8/9/2019,Available,0
F FRE,"edited by Lamar Giles, cofounder of We Need Diverse Books.",Fresh ink,3043700009404,2018,8/9/2019,Available,0
F FRE,"Fredericks, Mariah.",The girl in the park,3043700009537,2013,8/9/2019,Available,1
F FRE,"Freeman, Lisa,",Honey girl,3043700009805,2015,8/9/2019,Available,0
F FRE,"Freeman, Shannon.",Deported,3043700008745,2014,8/9/2019,Available,0
F FRE,"Freeman, Shannon,",Expecting,3043700008844,2016,8/9/2019,Available,0
F FRE,"Freeman, Shannon.",High school high,3043700009770,2013,8/9/2019,Available,0
F FRE,"Freeman, Shannon.",The public eye,3043700010959,2014,8/9/2019,Available,0
F FRE,"Freeman, Shannon.",Taken,3043700011807,2013,8/9/2019,Available,0
F FRE,"Freeman, Shannon (Shannon Ford)",The accident,3043700008023,2015,8/9/2019,Available,0
F FRE,"Freeman, Shannon (Shannon Ford)",Listed,3043700010280,2015,8/9/2019,Available,0
F FRE,"Freeman, Shannon (Shannon Ford)",A port in pieces,3043700010877,2015,8/9/2019,Available,0
F FRE,"Freeman, Shannon (Shannon Ford)",Traumatized,3043700011967,2015,8/9/2019,Available,0
F FRE,"Freitas, Donna,",The body market,3043700008211,2017,8/9/2019,Available,0
F FRE,"Freitas, Donna,",The healer,3043700014335,2018,12/5/2019,Available,0
F FRE,"Freitas, Donna,",The mind virus,3043700010462,2017,8/9/2019,Available,0
F FRE,"Freitas, Donna.",The survival kit,3043700013451,2011,12/5/2019,Available,0
F FRE,"Freitas, Donna.",Unplugged,3043700012086,2016,8/9/2019,Available,1
F FRE,"Freitas, Donna.",Unplugged,3043700017195,2016,12/14/2020,Available,2
F FRE,"French, Gillian.",The door to January,,2017,9/26/2019,Follett eBook,0
F FRE,"French, Gillian.",The door to January,3043700009076,2017,8/9/2019,Available,1
F FRE,"French, Gillian.",Grit,3043700015697,2017,5/20/2020,Available,0
F FRE,"French, Gillian.",The lies they tell,3043700010230,2018,8/9/2019,Available,0
F FRE,"French, Gillian,",The missing season,3043700017460,2020,12/14/2020,Available,0
F FRE,"Frey, James, 1969-",The calling,3043700008344,2014,8/9/2019,Available,1
F FRE,"Frey, James, 1969-",Rules of the game : an Endgame novel,3043700011192,2017,8/9/2019,Available,1
F FRE,"Frey, James, 1969-",Sky key,3043700011522,2016,8/9/2019,Available,1
F FRE,"Freymann-Weyr, Garret, 1965-",After the moment,,2009,9/26/2019,Follett eBook,0
F FRE,"Freymann-Weyr, Garret, 1965-",My heartbeat,3043700010515,2012,8/9/2019,Available,0
F FRI,"Frick, Kit,",All eyes on us,3043700016175,2019,5/20/2020,Available,0
F FRI,"Frick, Kit,",I killed Zoe Spanos,3043700017106,2020,12/14/2020,Available,0
F FRI,"Fridlund, Emily.",History of wolves : a novel,3043700009776,2017,8/9/2019,Available,0
F FRI,"Friedman, Aimee.",Two summers,3043700014098,2016,12/5/2019,Available,0
F FRI,"Friend, Natasha, 1972-",For keeps,3043700009326,2011,8/9/2019,Available,0
F FRI,"Friend, Natasha, 1972-",How we roll,3043700009848,2018,8/9/2019,Checked Out,1
F FRI,"Friend, Natasha, 1972-",My life in black and white,3043700010519,2012,8/9/2019,Available,0
F FRI,"Friend, Natasha, 1972-",The other F-word,3043700010755,2017,8/9/2019,Available,0
F FRI,"Friend, Natasha, 1972-",Perfect,3043700015610,2004,12/5/2019,Available,0
F FRI,"Friend, Natasha, 1972-",Where you'll find me,3043700013523,2016,12/5/2019,Available,0
F FRI,"Friesner, Esther M.,",Nobody's princess,3043700010627,2008,8/9/2019,Available,0
F FRI,"Friesner, Esther M.",Spirit's chosen,3043700014788,2014,12/5/2019,Available,0
F FRI,"Frizzell, Colin.",Chill,3043700008416,2006,8/9/2019,Available,0
F FRO,"Frost, Helen, 1949-",The braid,3043700008251,2006,8/9/2019,Available,0
F FRO,"Frost, Helen, 1949-",Crossing stones,3043700008558,2009,8/9/2019,Available,0
F FRO,"Frost, Helen, 1949-",Diamond Willow,3043700008762,2011,8/9/2019,Available,0
F FRO,"Frost, Helen, 1949-",Hidden,3043700009761,2015,8/9/2019,Available,0
F FRO,"Frost, Helen, 1949-",Keesha's house,3043700010058,2013,8/9/2019,Available,0
F FRO,"Frost, Mark, 1953-",Alliance,3043700008034,2015,8/9/2019,Available,0
F FRO,"Frost, Mark, 1953-",The Paladin prophecy,3043700010802,2014,8/9/2019,Available,0
F FRO,"Frost, Mark, 1953-",Rogue,3043700011153,2015,8/9/2019,Available,0
F FUK,"Fukuda, Andrew Xia.",The hunt,3043700009857,2013,8/9/2019,Available,0
F FUK,"Fukuda, Andrew Xia,",The prey,3043700010904,2013,8/9/2019,Available,0
F FUK,"Fukuda, Andrew Xia.",This light between us a novel of World War II,,2020,2/12/2021,Follett eBook,0
F FUK,"Fukuda, Andrew Xia.",The trap,3043700011966,2013,8/9/2019,Available,0
F FUK,"Fukui, Isamu, 1990-",Truancy,3043700011986,2010,8/9/2019,Available,0
F FUL,"Fuller, Claire.",Our endless numbered days,3043700015118,2015,12/5/2019,Available,0
F FUN,"Funke, Cornelia Caroline.",Fearless,,2013,9/3/2019,Follett eBook,0
F FUN,"Funke, Cornelia Caroline.",The Thief Lord,3043700015183,2010,12/5/2019,Available,0
F FUQ,"Fuqua, Jonathon Scott.",The reappearance of Sam Webber,3043700011024,1999,8/9/2019,Available,0
F FUR,"Furniss, Clare.",How not to disappear,3043700009831,2017,8/9/2019,Available,0
F FUR,"Furniss, Clare.",The year of the rat,3043700012497,2014,8/9/2019,Available,0
F FUT,edited by Hannah Strom-Martin and Erin Underwood.,Futuredaze : an anthology of YA science fiction,3043700009445,2013,8/9/2019,Available,0
F GAB,"Gabel, Claudia.",Elusion,3043700013646,2014,12/5/2019,Available,0
F GAB,"Gabel, Claudia.",Etherworld,3043700013653,2015,12/5/2019,Available,0
F GAE,"Gaetz, Dayle, 1947-",Crossbow,3043700008555,2007,8/9/2019,Available,0
F GAE,"Gaetz, Dayle, 1947-",No problem,3043700010617,2003,8/9/2019,Available,0
F GAG,"Gagnon, Michelle, 1971-",Don't let go,3043700008812,2014,8/9/2019,Available,0
F GAG,"Gagnon, Michelle, 1971-",Don't look now,3043700008813,2013,8/9/2019,Available,0
F GAG,"Gagnon, Michelle, 1971-",Don't turn around,3043700008815,2013,8/9/2019,Available,0
F GAG,"Gagnon, Michelle, 1971-",Unearthly things,,2017,9/26/2019,Follett eBook,0
F GAG,"Gagnon, Michelle, 1971-",Unearthly things,3043700012065,2017,8/9/2019,Available,0
F GAI,"Gailey, Sarah,",Magic for liars,3043700016273,2019,5/20/2020,Available,0
F GAI,"Gaiman, Neil.",American gods : a novel,3043700002789,2011,8/9/2019,Checked Out,1
F GAI,"Gaiman, Neil.",Anansi boys,3043700012584,2008,12/5/2019,Available,0
F GAI,"Gaiman, Neil,",Eternity's wheel : an InterWorld novel,3043700014477,2016,12/5/2019,Available,0
F GAI,"Gaiman, Neil.",The graveyard book,3043700009654,2008,8/9/2019,Available,1
F GAI,"Gaiman, Neil.",Interworld,3043700015705,2007,5/20/2020,Available,0
F GAI,"Gaiman, Neil.",Neverwhere,3043700010557,1997,8/9/2019,Available,0
F GAI,"Gaiman, Neil,",The ocean at the end of the lane,3043700010677,2013,8/9/2019,Available,0
F GAI,"Gaiman, Neil,",The silver dream : an InterWorld novel,3043700013079,2015,12/5/2019,Available,0
F GAI,"Gaiman, Neil,",The sleeper and the spindle,3043700011539,2015,8/9/2019,Available,0
F GAI,"Gaiman, Neil.",Stardust,3043700011671,2006,8/9/2019,Available,0
F GAI,"Gaines, Ernest J., 1933-",The autobiography of Miss Jane Pittman,3043700012591,2009,12/5/2019,Available,0
F GAI,"Gaither, Stefanie.",Falls the shadow,3043700012730,2014,12/5/2019,Available,0
F GAI,"Gaither, Stefanie.",Into the abyss,3043700012834,2016,12/5/2019,Available,0
F GAI,stories selected by Neil Gaiman with Maria Dahvana Headley ; illustrated by Briony Morrow-Cribbs.,Unnatural creatures,3043700012084,2013,8/9/2019,Available,0
F GAL,"Gale, Emily.",Girl out loud,3043700009550,2012,8/9/2019,Available,0
F GAL,"Gallagher, Diana,",Lessons in falling,3043700010206,2017,8/9/2019,Available,0
F GAL,"Galloway, Gregory,",As simple as snow,3043700003295,2015,8/9/2019,Available,1
F GAN,"Ganger, Candace,",Six goodbyes we never said,3043700016309,2019,5/20/2020,Available,0
F GAN,"Gangsei, Jan.",Zero day,,2016,9/26/2019,Follett eBook,0
F GAN,"Gangsei, Jan.",Zero day,3043700014158,2016,12/5/2019,Available,1
F GAN,"Gansworth, Eric L.",Give me some truth,,2018,9/3/2019,Follett eBook,0
F GAN,"Gansworth, Eric L.",Give me some truth,3043700009565,2018,8/9/2019,Available,0
F GAN,"Gansworth, Eric L.",If I ever get out of here,,,9/3/2019,Follett eBook,0
F GAN,"Gansworth, Eric L.",If I ever get out of here,3043700012806,2013,12/5/2019,Available,1
F GAN,"Gantos, Jack.",The love curse of the Rumbaughs,3043700010347,2008,8/9/2019,Available,0
F GAN,"Gantos, Jack,",The trouble in me,3043700014397,2017,12/5/2019,Available,0
F GAR,"Garber, Romina.",Lobizona,3043700017125,2020,12/14/2020,Available,0
F GAR,"Garber, Stephanie.",Caraval,,2017,9/3/2019,Follett eBook,0
F GAR,"Garber, Stephanie.",Caraval,3043700008355,2017,8/9/2019,Available,7
F GAR,"Garber, Stephanie,",Finale,3043700016222,2019,5/20/2020,Checked Out,2
F GAR,"Garber, Stephanie.",Legendary,3043700010198,2018,8/9/2019,Available,3
F GAR,"García, Cristina, 1958-",Dreams of significant girls,3043700009121,2011,8/9/2019,Available,0
F GAR,"Garcia, Kami.",Agent of chaos,3043700012469,2017,8/9/2019,Available,0
F GAR,"Garcia, Kami.",Beautiful chaos,3043700003409,2011,8/9/2019,Available,0
F GAR,"Garcia, Kami.",Beautiful creatures,3043700015215,2010,12/5/2019,Available,0
F GAR,"Garcia, Kami.",Beautiful darkness,3043700013578,2010,12/5/2019,Available,0
F GAR,"Garcia, Kami.",Beautiful redemption,3043700013579,2012,12/5/2019,Available,0
F GAR,"Garcia, Kami.",Broken beautiful hearts,3043700008287,2018,8/9/2019,Available,0
F GAR,"Garcia, Kami,",Dangerous creatures,3043700008608,2014,8/9/2019,Available,0
F GAR,"Garcia, Kami.",Dangerous deception,3043700008609,2015,8/9/2019,Available,0
F GAR,"Garcia, Kami.",The lovely reckless,3043700012904,2016,12/5/2019,Available,0
F GAR,"Garcia, Kami.",Unmarked,3043700012571,2015,8/9/2019,Available,0
F GAR,"García Márquez, Gabriel, 1927-2014,",One hundred years of solitude,3043700015115,2006,12/5/2019,Available,0
F GAR,"García, Mia,",Even if the sky falls,3043700009243,2016,8/9/2019,Available,0
F GAR,"García, Mia,",The resolutions,3043700011085,2018,8/9/2019,Available,0
F GAR,"Garden, Nancy.",Annie on my mind,3043700014411,2007,12/5/2019,Available,0
F GAR,"Gardner, Faith,",Perdita,3043700013862,2015,12/5/2019,Available,0
F GAR,"Gardner, Faith.",The second life of Ava Rivers,3043700011303,2018,8/9/2019,Available,1
F GAR,"Gardner, Kati.",Brave enough,3043700008253,2018,8/9/2019,Available,0
F GAR,"Gardner, Sally.",The door that led to where,3043700009075,2016,8/9/2019,Available,0
F GAR,"Gardner, Sally.",Maggot moon,3043700013801,2013,12/5/2019,Available,0
F GAR,"Gardner, Sally.",The red necklace : a story of the French Revolution,3043700014744,2009,12/5/2019,Available,0
F GAR,"Gardner, Scot.",The dead I know,,2015,9/26/2019,Follett eBook,0
F GAR,"Gardner, Scot.",The dead I know,3043700013218,2015,12/5/2019,Available,0
F GAR,"Gardner, Whitney.",Chaotic good,,2019,9/5/2019,Follett eBook,0
F GAR,"Gardner, Whitney.","You're welcome, universe",3043700013564,2017,12/5/2019,Available,0
F GAR,"Garfield, Henry.",The lost voyage of John Cabot : a novel,3043700010339,2004,8/9/2019,Available,0
F GAR,"Garner, Em, 1971-",Contaminated,3043700015521,2014,12/5/2019,Available,0
F GAR,"Garner, Em, 1971-","Contaminated. 2, Mercy mode",3043700012774,2014,12/5/2019,Available,0
F GAR,"Garner, Em, 1971-",Mercy mode,,2014,9/26/2019,Follett eBook,0
F GAR,"Garner, Paula.",Phantom limbs,,2016,9/26/2019,Follett eBook,0
F GAR,"Garner, Paula.",Phantom limbs,,2017,9/3/2019,Follett eBook,0
F GAR,"Garner, Paula.",Phantom limbs,3043700013409,2016,12/5/2019,Available,1
F GAR,"Garner, Paula.",Relative strangers,3043700011070,2018,8/9/2019,Available,0
F GAR,"Garrett, Camryn.",Full disclosure,,2019,9/5/2019,Follett eBook,0
F GAR,"Garrett, Camryn.",Full disclosure,3043700016228,2019,5/20/2020,Available,0
F GAR,"Garrett, Kelly.",The last to die,,2019,8/28/2020,Follett eBook,0
F GAR,"Garvin, Jeff.",The lightness of hands,,2020,8/28/2020,Follett eBook,0
F GAR,"Garvin, Jeff.",The lightness of hands,3043700016814,2020,12/14/2020,Available,0
F GAR,"Garvin, Jeff.",Symptoms of being human,3043700013924,2016,12/5/2019,Available,0
F GAT,"Gattis, Ryan.",All involved,3043700002725,2016,8/9/2019,Available,0
F GAU,"Gaughen, A. C.,",Lady thief,3043700014536,2017,12/5/2019,Available,0
F GAU,"Gaughen, A. C.,",Lion heart : a Scarlet novel,3043700013334,2015,12/5/2019,Available,0
F GAU,"Gaughen, A. C.",Reign the earth,,2018,9/3/2019,Follett eBook,0
F GAU,"Gaughen, A. C.",Reign the earth,3043700011066,2018,8/9/2019,Available,1
F GAU,"Gaughen, A. C.",Scarlet,3043700013060,2013,12/5/2019,Available,0
F GAV,"Gavin, Rohan,",3 of a kind,3043700010069,2016,8/9/2019,Available,0
F GAV,"Gavin, Rohan.",K-9,3043700010070,2015,8/9/2019,Available,0
F GAV,"Gavin, Rohan,",Knightley & son,3043700010107,2014,8/9/2019,Available,0
F GEB,"Gebhart, Ryan,",Of Jenny and the aliens,3043700010688,2017,8/9/2019,Available,0
F GED,"Geda, Fabio, 1972-",In the sea there are crocodiles : based on the true story of Enaiatollah Akbari : a novel,3043700014345,2012,12/5/2019,Available,0
F GEE,edited by Holly Black and Cecil Castellucci.,Geektastic : stories from the nerd herd,3043700009481,2010,8/9/2019,Available,0
F GEE,"Gee, Maurice.",Salt,3043700011226,2009,8/9/2019,Available,0
F GEI,"Geiger, A. V.",Scared little rabbits,,2020,8/28/2020,Follett eBook,0
